"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1436","Few hours more to #WonderTheMovie",FALSE,0,NA,2017-12-07 09:36:54,FALSE,NA,"938703856153772032",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","greg_ivan",0,FALSE,FALSE,NA,NA
"1437","Canceling all year #Wonder. #JuliaRoberts is singing national anthem in Jerusalem. We lost a man in a throwback. 1‚Ä¶ https://t.co/oYT4784m5z",FALSE,0,NA,2017-12-07 09:36:22,TRUE,NA,"938703722326216705",NA,"<a href=""http://www.google.com"" rel=""nofollow"">Baio Bot Reloaded</a>","BaioBot4000",0,FALSE,FALSE,NA,NA
"1438","RT @rachaellehr: Here‚Äôs our first question for the night... 
How important is #curiosity &amp; #wonder to #STEM learning? 
#PrimarySTEMChat htt‚Ä¶",FALSE,0,NA,2017-12-07 09:36:08,FALSE,NA,"938703664868343811",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NZWaikato",1,TRUE,FALSE,NA,NA
"1439","Here‚Äôs our first question for the night... 
How important is #curiosity &amp; #wonder to #STEM learning?‚Ä¶ https://t.co/7Vu75gwkMu",FALSE,2,NA,2017-12-07 09:35:36,TRUE,NA,"938703531573354497",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rachaellehr",1,FALSE,FALSE,NA,NA
"1440","@KermodeMovie What are your thoughts on #WonderTheMovie message of ""disfigurement is fine"" whilst an non-disfigured‚Ä¶ https://t.co/7yANaiU5dZ",FALSE,0,"KermodeMovie",2017-12-07 09:32:51,TRUE,NA,"938702836522565632","111323990","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Saigon_Redux",0,FALSE,FALSE,NA,NA
"1441","Kew Gardens #xmaslights #singingtrees #wonder #beautiful #instagood https://t.co/dn7cRZ311s",FALSE,0,NA,2017-12-07 09:29:34,FALSE,NA,"938702011264008193",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","NSandhu83",0,FALSE,FALSE,NA,NA
"1442","RT @FaceEquality: Have you seen #WondertheMovie yet? It really makes you think‚Ä¶. Donate here to help us end appearance related bullying htt‚Ä¶",FALSE,0,NA,2017-12-07 09:28:11,FALSE,NA,"938701664437047296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pointybootz",7,TRUE,FALSE,NA,NA
"1443","RT @wqingsh: ‚ÄúHe can‚Äôt change the way he looks, but maybe we can change the way we see.‚Äù ‚ù§Ì†ΩÌ∏≠ #Wonder #ChooseKind https://t.co/zOEUziPdtH",FALSE,0,NA,2017-12-07 09:27:01,FALSE,NA,"938701371829772288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Sylviafamm626",121,TRUE,FALSE,NA,NA
"1444","RT @WonderTheMovie: Critics are jumping for joy over #WonderTheMovie - CERTIFIED FRESH Ì†ºÌΩÖ  on @RottenTomatoes. See the most heartwarming fil‚Ä¶",FALSE,0,NA,2017-12-07 09:25:31,FALSE,NA,"938700993482625025",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DavisEliza",148,TRUE,FALSE,NA,NA
"1445","Willie wonders: All of the toys aren't mine? Why not?
#toys #SharingIsCaring #ServiceDog #trainee #GreatDane #puppy‚Ä¶ https://t.co/nGMual7Kcp",FALSE,35,NA,2017-12-07 09:24:27,TRUE,NA,"938700725248503808",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ServiceDogPr",3,FALSE,FALSE,NA,NA
"1446","RT @WonderTheMovie: Have you see #WonderTheMovie yet? Let us know what scene inspired YOU the most! https://t.co/6v90GXZBMm",FALSE,0,NA,2017-12-07 09:21:15,FALSE,NA,"938699916787908609",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","CHHTP94X",82,TRUE,FALSE,NA,NA
"1447","What a film, @WonderTheMovie is. A heartwarming story with a beautiful balance of humour. #JuliaRoberts,‚Ä¶ https://t.co/HD1a9fjuhX",FALSE,293,NA,2017-12-07 09:10:08,TRUE,NA,"938697121812897792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DianaPenty",13,FALSE,FALSE,NA,NA
