"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"3569","Has anyone here listened to the audio book of Murder on the Orient express? the voice actors are great but big chun… https://t.co/KHYDytYQYl",FALSE,0,NA,2017-12-04 15:21:14,TRUE,NA,"937703348236705793",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","carolinedoab",0,FALSE,FALSE,NA,NA
"3570","murder on the orient express (2017) dir. kenneth branagh 
★★★★☆ https://t.co/FFPJESEPaD",FALSE,0,"whosanasofia",2017-12-04 15:20:59,FALSE,"845427419297304577","937703284860649474","3112276763","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","whosanasofia",0,FALSE,FALSE,NA,NA
"3571","i want 2 watch murder on the orient express",FALSE,4,NA,2017-12-04 15:20:26,FALSE,NA,"937703147950129158",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","marguliesbetty",0,FALSE,FALSE,NA,NA
"3572","“Murder on the Orient Express” (2017) 4/5",FALSE,0,NA,2017-12-04 15:19:38,FALSE,NA,"937702944215928835",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PDPSihombing",0,FALSE,FALSE,NA,NA
"3573","Murder on the Orient Express Audiobook https://t.co/g974CEHngS 来自 @YouTube",FALSE,0,NA,2017-12-04 15:17:27,FALSE,NA,"937702395517083648",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kangnilaien22",0,FALSE,FALSE,NA,NA
"3574","Win a VIP trip for two to New York City with Proraso and Murder On The Orient Express https://t.co/HWrg6DvMZA",FALSE,0,NA,2017-12-04 15:17:26,FALSE,NA,"937702393134964736",NA,"<a href=""https://www.viralsweep.com/"" rel=""nofollow"">ViralSweep App</a>","Interceptor2551",0,FALSE,FALSE,NA,NA
"3575","murder on the orient express? hmm",FALSE,0,NA,2017-12-04 15:16:13,FALSE,NA,"937702086501793792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","thisisdange",0,FALSE,FALSE,NA,NA
"3576","Murder on orient express is actually good. The storytelling is so fantastic that such a complex plot can be easily understood by audience.",FALSE,0,NA,2017-12-04 15:16:06,FALSE,NA,"937702056940277762",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","danu_ie",0,FALSE,FALSE,NA,NA
"3577","Murder on the Orient Express is good.",FALSE,0,NA,2017-12-04 15:14:34,FALSE,NA,"937701668270907392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ChristyTehja_K",0,FALSE,FALSE,NA,NA
"3578","On Tue at 3 PM: Online Marketing Made Easy, The Star, Suburbicon, Daddy's Home 2, Murder On The Orient Express https://t.co/myY7unG0yT",FALSE,0,NA,2017-12-04 15:11:03,FALSE,NA,"937700784283766785",NA,"<a href=""http://twirssi.com"" rel=""nofollow"">Twirssi</a>","swindonguide",0,FALSE,FALSE,NA,NA
"3579","RT @Findsuitablejob: Watch: leslieodomjr Reveals That Penélope Cruz Kept the 'Murder on the Orient Express' Cast Partying All Night #People…",FALSE,0,NA,2017-12-04 15:08:33,FALSE,NA,"937700155825856512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GawdiyaaMukesh",1,TRUE,FALSE,NA,NA
