"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2118","Daddy’s Home 2 – fisticuffs in the workplace https://t.co/UNbJZrthhA | by @fordharrisonlaw",FALSE,0,NA,2017-11-28 19:39:15,FALSE,NA,"935593954766180353",NA,"<a href=""http://www.jdsupra.com/resources/syndication/"" rel=""nofollow"">jdsupra</a>","EntertainingLaw",0,FALSE,FALSE,NA,NA
"2119","yesterday Geoff and I went out for dinner and Christmassy cocktails, and then saw 'Daddy's Home 2' in the cinema, s… https://t.co/uFVwdaZ7Uu",FALSE,1,NA,2017-11-28 19:38:53,TRUE,NA,"935593860922830849",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","haiimsophie_x",0,FALSE,FALSE,NA,NA
"2120","#UKBoxOffice Chart Top 5: 

1. Daddy's Home 2
2. Paddington 2
3. Justice League
4. Murder on the Orient Express
5.… https://t.co/jSalsqT5AH",FALSE,0,NA,2017-11-28 19:34:06,TRUE,NA,"935592656880758784",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","thefilmagazine",0,FALSE,FALSE,NA,NA
"2121","Daddy’s Home  https://t.co/EbzaQekL9R https://t.co/DllmzUGJFH",FALSE,0,NA,2017-11-28 19:33:35,FALSE,NA,"935592526387580928",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","BlogLbbb",0,FALSE,FALSE,NA,NA
"2122","RT @Hello_Tailor: the toilets on this train FORCE YOU TO LISTEN TO AN ADVERT FOR ""DADDY'S HOME 2."" https://t.co/sERk5JaCkI",FALSE,0,NA,2017-11-28 19:30:55,FALSE,NA,"935591857534496768",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","D_Heartwood_",535,TRUE,FALSE,NA,NA
"2123","RT @Hello_Tailor: the toilets on this train FORCE YOU TO LISTEN TO AN ADVERT FOR ""DADDY'S HOME 2."" https://t.co/sERk5JaCkI",FALSE,0,NA,2017-11-28 19:28:12,FALSE,NA,"935591170822017024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","UltimateXiphias",535,TRUE,FALSE,NA,NA
"2124","watching Daddy's Home 2",FALSE,0,NA,2017-11-28 19:24:45,FALSE,NA,"935590304421482498",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","yousef45x",0,FALSE,FALSE,NA,NA
"2125","Date night at cinema watching daddy’s home 2",FALSE,8,NA,2017-11-28 19:24:02,FALSE,NA,"935590123592404992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CambsRudecouple",0,FALSE,FALSE,NA,NA
"2126","RT @Hello_Tailor: the toilets on this train FORCE YOU TO LISTEN TO AN ADVERT FOR ""DADDY'S HOME 2."" https://t.co/sERk5JaCkI",FALSE,0,NA,2017-11-28 19:23:35,FALSE,NA,"935590010656641024",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MaxKriegerVG",535,TRUE,FALSE,NA,NA
"2127","RT @Mellemental: @annehelen Nope. He's making CMBYN and the upcoming RBG biopic, not Justice League or Daddy's Home 2. He's fully self-awar…",FALSE,0,NA,2017-11-28 19:12:09,FALSE,NA,"935587133552652288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cellmembrane416",14,TRUE,FALSE,NA,NA
